title,rank,date,artist,url,region,chart,trend,streams
Something Just Like This,14,2017-03-01,"The Chainsmokers, Coldplay",https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,Bolivia,top200,SAME_POSITION,3379
Vente Pa' Ca (feat. Maluma),15,2017-03-01,Ricky Martin,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,Bolivia,top200,MOVE_DOWN,3278
Let Me Love You,16,2017-03-01,"DJ Snake, Justin Bieber",https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,Bolivia,top200,MOVE_DOWN,3138
Paris,17,2017-03-01,The Chainsmokers,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,Bolivia,top200,MOVE_UP,3020
It Ain't Me (with Selena Gomez),18,2017-03-01,Kygo,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,Bolivia,top200,MOVE_UP,2795
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",19,2017-03-01,Anuel AA,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,Bolivia,top200,MOVE_UP,2786
"I Donât Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",20,2017-03-01,"ZAYN, Taylor Swift",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,Bolivia,top200,MOVE_UP,2774
Dile Que Tu Me Quieres,21,2017-03-01,Ozuna,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o,Bolivia,top200,MOVE_DOWN,2718
Scared to Be Lonely,22,2017-03-01,"Martin Garrix, Dua Lipa",https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,Bolivia,top200,MOVE_DOWN,2710
Rockabye (feat. Sean Paul & Anne-Marie),23,2017-03-01,Clean Bandit,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,Bolivia,top200,MOVE_UP,2612
La Rompe Corazones,24,2017-03-01,"Daddy Yankee, Ozuna",https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3,Bolivia,top200,MOVE_DOWN,2608
Closer,25,2017-03-01,"The Chainsmokers, Halsey",https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,Bolivia,top200,MOVE_DOWN,2565
Don't Wanna Know,26,2017-03-01,"Maroon 5, Kendrick Lamar",https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,Bolivia,top200,MOVE_UP,2527
I Feel It Coming,27,2017-03-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,Bolivia,top200,SAME_POSITION,2518
Te Quiero PaÂ´Mi,28,2017-03-01,"Don Omar, Zion & Lennox",https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz,Bolivia,top200,MOVE_DOWN,2464
Alguien Robo,29,2017-03-01,"Sebastian Yatra, Nacho, Wisin",https://open.spotify.com/track/5i50gKdLAjjIr7UxRT5IVy,Bolivia,top200,MOVE_UP,2448
Gyal You A Party Animal - Remix,30,2017-03-01,"Charly Black, Daddy Yankee",https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I,Bolivia,top200,MOVE_DOWN,2445
QuÃ© Gano OlvidÃ¡ndote (feat. Zion & Lennox) - VersiÃ³n Urbana,31,2017-03-01,Reik,https://open.spotify.com/track/3H179O48ynsu9q8LOnFQZY,Bolivia,top200,MOVE_UP,2354
